,title
66,[新聞] 羽球場天花板震塌也是機密？ 李鴻源：標
67,[問卦] 眼鏡怎麼配 都會酸 怎辦？
68,[問卦] 女同事跟我說想看五十度灰
69,[新聞] 人妻偷吃鮮肉搬家工！新家「激戰27次」　
70,Re: [問卦] 你各位會想嚐試植物肉嗎？
71,Re: [問卦] 真的有7、8年級的父母錯過風口起飛嗎
72,[問卦] 為什麼自助餐結帳前還要先看一下購買人==
73,[問卦] 四大、三雄是東方神祕的常數嗎？
74,[問卦] 我得了不想出門不想做事的病怎辦？
75,Re: [問卦] 有哪些值得收藏一整套的漫畫？
76,[問卦] 失業瘦宅一直想睡
77,[問卦] 幹你娘，好好蓋不要貪污很難嗎？
78,[問卦] 為什麼中國有長假 我們沒有
79,Re: [問卦] 真的有7、8年級的父母錯過風口起飛嗎
80,[問卦] 德國人是不是抄襲廖老大？
81,[新聞]查爾斯三世：「我是白手起家百萬富翁」原
82,[問卦] 剛認識一個短髮妹就帶我回家還說想上月球
83,[問卦] 女王出山 今天女王出山 什麼時代結束？
84,[新聞] 餘震突然停了！氣象局坦言「怪怪的」：不
85,[問卦] 台灣女權是什麼時候出現拐點？
86,[問卦] 有沒有養貓到底多花錢的八卦？
87,[問卦] 蝦皮店到店的未來是什麼?
88,Re: [問卦] 真的有7、8年級的父母錯過風口起飛嗎
89,[問卦] 開馬自達就不能開會嗎
90,Re: [問卦] 為什麼中國有長假 我們沒有
91,[問卦] 中午開始中華電信沒訊號??
92,[協尋] 嘉義市橘貓走失
93,[問卦] 2011年中國動車事故究竟有多嚴重？
94,[問卦] 能夠監測地表下能量嗎？
95,[問卦] 清水地熱煮什麼才能稱霸全場
96,[問卦] 平價牛排成本到底有多低???
97,[問卦] 怎電影不拍魔戒-精靈寶鑽？
98,[問卦] 為什麼不直接提出直升機交通網算了
99,[問卦] 房子蓋在斷層帶誰的錯？
100,Re: [問卦] 真的有7、8年級的父母錯過風口起飛嗎（自家案例
101,Re: [新聞] 陳時中拋「士北路網10年計畫」北市交通
102,Re: [問卦] 真的有7、8年級的父母錯過風口起飛嗎
103,[爆卦] 馬英九泳渡日月潭後確診　目前已康復
104,[問卦] 台灣理工這麼強，為何沒發明iphone?
105,[問卦] 為啥突然沒地震了？
106,[新聞] 池上地震災情慘！蔡英文卻斷訊不理災區 
107,[問卦] 日本東大的碩班招生是不是很黑呢??
108,Re: [問卦] 能夠監測地表下能量嗎？
109,[問卦] 心悸怎麼辦？
110,[問卦] 現在的媒體484很難監督政府？
111,[問卦] 如果地震時車開在隧道裡 要怎麼辦
112,Re: [問卦] 真的有7、8年級的父母錯過風口起飛嗎
113,[問卦] 桃園、新竹國道塞成這樣到底怎麼解？
114,[問卦] iPhone14滑ptt很燙正常嗎
115,[新聞] 餘震差不多搖完了！氣象局坦言「怪怪的」
116,[問卦] 地震手機通知有用嗎？
117,Re: [爆卦] 桃園八德運動中心牆壁一踢就破！
118,Re: [新聞] 紅到國外！八德運動中心登CNN　女主播驚
119,Re: [問卦] 平價牛排成本到底有多低???
120,Re: [問卦] 監察院的存在意義是？
121,Re: [問卦] 桃園、新竹國道塞成這樣到底怎麼解？
122,Re: [新聞] 再轟慈濟「中共自己人」 周玉蔻曝證據問:
123,Re: [問卦] 怎電影不拍魔戒-精靈寶鑽？
124,[問卦] 風都偵探是在新竹取景拍的嗎？
125,[問卦] 台灣人對天災怎麼那麼淡定？
126,Re: [問卦] iPhone14滑ptt很燙正常嗎
127,[問卦] M2和M1差很多嗎
128,Re: [新聞] 快訊／災變中心「唸完稿就走」挨轟冷血
129,Re: [問卦] 真的有7、8年級的父母錯過風口起飛嗎
130,[問卦] 蛋捲 小時候吃過一包有幾支的？！
131,[問卦] 養貓後下班沒辦法做自己的事正常嗎?
132,[問卦] 演唱節目不假唱
133,[新聞] 台東地下岩層厚 專家：地震能量釋放像毛毛蟲不像泥鰍
134,[問卦] 大自然現在會不會是在CD中？？？
135,[問卦] 現在學生還會憂國憂民嗎
136,Re: [問卦] 有7、8年級父母錯過風口起飛（自家案例
137,[新聞] 921太平全倒戶震怕了 怒訴房子倒22年還在
138,Re: [問卦] 為什麼昨天我PO有收到免費鏡週刊的文消失
139,[新聞] 呂秀蓮：這輩子最遺憾身為女性沒機會當兵
140,[新聞] 獨／高雄警調動名單出爐 這分局爆「出走
141,[新聞] 世界看見台灣！八德運動中心一震就塌　CN
142,[問卦] 台灣到底是超前部署還是落後部署？
143,[問卦] 英國王室都不火化嗎？
144,Re: [爆卦] 桃園三級震爛的運動中心也花12億！
145,[問卦] 言葉之庭如果給朴贊郁來拍？
146,[問卦] 頂樓跟一樓死不簽都更怎麼辦
147,[問卦] 法國馬克宏現在是不是在偷笑?
148,山葉機車怎麼穩坐老三的
149,[問卦] 全面攻佔2是不是也算神預言
150,[問卦] 幹誰說新冠是小感冒的 給老子進來
151,[問卦] 現在不到30的媽媽是不是比日製壓縮機稀有
152,Re: [問卦] 媽媽跟女朋友同時要買哀鳳14PRO
153,[問卦] 天使新世界聖戰軍 Day106
154,[新聞] 周玉蔻稱10月25日開國門 王必勝：目前未
155,[問卦] 工廠的貓要怎麼活？
156,[問卦] 覺得COCO臉書評論神奇很正常嗎？
157,[新聞] 要國光客運10萬買斷「危險駕駛影片」！
158,[問卦] 台南下雨了= =
159,Re: [新聞] EVGA終止與NVIDIA合作「退出顯卡市場」　
160,[問卦] 1951年花蓮-台東地震系列??
161,Re: [問卦] 頂樓跟一樓死不簽都更怎麼辦
162,[問卦] 有沒有做大腸鏡一半醒來的八卦
163,[新聞] iPhone 14 Pro傳災情！　外國用戶反應「
164,[問卦] 顯卡姬秤斤論兩中?
165,[問卦] 別國怎麼看台灣黑道當大官
166,[爆卦] 幼兒疫苗熱痙攣+1例，兒童心肌炎+1
167,[問卦] 台幣會噴到什麼地方
168,[問卦] 昨天的6.8級地震發生在三峽大壩會潰壩嗎
169,Re: [問卦] 現在不到30的媽媽是不是比日製壓縮機稀有
170,Re: [問卦] 女友被洋腸搭訕怎麼辦
171,[問卦] 主震前震仍在馬後炮階段
172,[問卦] 台灣有816萬台汽車，很多嗎？
173,[問卦] 蘇澳這紅綠是三小？
174,Re: [問卦] 監察院的存在意義是？
175,Re: [新聞] 要國光客運10萬買斷「危險駕駛影片」！
176,Re: [新聞] 周玉蔻稱10月25日開國門 王必勝：目前未
177,Re: [新聞] 網喊「新竹棒球場、桃園羽球館」鄭文燦怒了：不要惡意連
178,[新聞] 震後水管爆管 北高今晚3.8萬戶將停水6小
179,[問卦] 要買台製的電視是不是只剩Panasonic
180,[問卦] 有沒有海底撈來台行不行的八卦？
181,[問卦] 減肥時手機桌布要放什麼勉勵自己？
182,[問卦] 專精到什麼程度才能稱為「專家」？
183,[問卦]  突然有房仲公司寄信說要買我家農地？
184,[問卦] 人類歷史中地震那麼多 484都沒得到教訓?
185,[問卦] 八德大概等於哪個爛城市
186,Re: [新聞] 網喊「新竹棒球場、桃園羽球館」鄭文燦怒了：不要惡意連
187,[問卦] 台灣人很有錢吧
188,[問卦] 烏鴉幹嘛找勾惡借錢的八卦？
189,[問卦] 有噴到底是什麼意思啊
190,[問卦] 除諾曼第大空降外 哪部片最多英國人演老美啊
191,[問卦] 用40元台幣換1元美金的都幾歲了？
192,Re: [問卦] 專精到什麼程度才能稱為「專家」？
193,Re: [新聞] EVGA終止與NVIDIA合作「退出顯卡市場」　
194,[問卦] 求救，抽屜打不開。
195,[新聞] 蘇貞昌突更改勘災行程先去慈濟 傅崐萁怒
196,[問卦] 楓之谷現在12E能幹嘛？
197,[問卦] 天堂在龍之谷年代可以變死騎有多屌?
198,[新聞] 持假鈔詐買真金不成行搶 女嫌逃離40分鐘
199,Re: [新聞] 要國光客運10萬買斷「危險駕駛影片」！
200,[問卦]  有沒有line表情貼的掛
201,[問卦] 人可真夠草蛋的，對嗎？
202,[爆卦] 英國女王伊莉莎白二世葬禮live
203,[問卦] 爲何台灣還沒出現 下個第一美女？
204,[新聞] 拜登誓言若有空前攻擊會保台！未正面回應
205,[問卦] 論文口試不準備茶點便當會怎樣？
206,[新聞] 八德運動中心包商遭曝違反勞動法令210次 
207,[問卦] 魔力寶貝在1.0年代可以亂射有多屌？
208,Re: [新聞] EVGA終止與NVIDIA合作「退出顯卡市場」　
209,[問卦] 這波EVGA是等等黨害的還是老黃太可惡?
210,[問卦] 東部人不會被震到頭昏嗎??
211,[問卦] 今天有人一直覺得在晃嗎？
212,[問卦] 地震專家們這次是不是有準到？
213,[問卦] 內，所以核四廠有什麼損害嗎？
214,[問卦] 有沒有人感覺最近有一直搖的錯覺???
215,[問卦] 喜歡coco的都是什麼人
216,[新聞] 預算甩鍋？陳時中酸黃珊珊：鴻海買疫苗也
217,[問卦] 發現口愛女孩兒有刺青 會扣分嗎 o'_'o
218,[問卦] 片假名為啥那麼難背？
219,Re: [問卦] 為什麼中醫外科消失在現代？
220,[新聞] 快訊／泳渡日月潭後身體不適 72歲馬英九
221,Re: [新聞] 網喊「新竹棒球場、桃園羽球館」鄭文燦怒了：不要惡意連
222,[新聞] 向柯P遞出合作訊息 謝龍介跨黨輔選充當
223,Re: [新聞] 鏡電視取代TVBS鬧上NCC　大豐、TBC每月多
224,[問卦] TVBS、數位中介法是不是細思極恐？
225,[問卦] 乩童可以保險嗎？
226,[問卦] 這碗牛魯肉飯大家覺得如何啊？
227,Re: [問卦] 論文口試不準備茶點便當會怎樣？
228,[問卦] 什麼老師在學校可以橫著走？
229,[新聞] 舉暖心案例對比「唸完稿走人」　他轟爆
230,[問卦] 市容醜的主要因素是否是無法都更導致
231,[問卦] 請問有人在好市多被檢查出多收錢嗎？
232,[問卦] 台南水泥種植植物獨步全球?
233,Re: [問卦] 憾！下線等。蚊子都不叮甲甲同事？！
234,Re: [問卦] 爲何台灣還沒出現 下個第一美女？
235,Re: [問卦] 監察院的存在意義是？
236,[問卦] 世界上真的有忍者嗎！
237,[問卦] 每天確診數還這麼多是台灣人喜歡快篩嗎？
238,[問卦] 拉沃杯vip票58萬英鎊是什麼概念
239,Re: [新聞] 要國光客運10萬買斷「危險駕駛影片」！
240,[新聞] 王浩宇揭台東強震後饒慶鈴跑2選舉場 饒
241,[問卦] 今天不會有地震了吧
242,"[問卦] 你各位說說鬼島112,啊到底哪裡了不起?"
243,[問卦] 同事坐旁邊硬要用分機說話？
244,[問卦] 去捷克布拉格當乞丐好賺嗎？
245,[問卦] 吉田咲
246,[新聞] 印度神童最新預言又說中？台東6.8強震全
247,Re: [問卦] 市容醜的主要因素是否是無法都更導致
248,[新聞] 電價費率審議會19日召開 10月凍漲機率高
249,[問卦] 台南不開吉野家？
250,[問卦] 憾！下線等。揪團驗精子甲甲同事爆氣?!
251,Re: [新聞] 王浩宇揭台東強震後饒慶鈴跑2選舉場 饒
252,[問卦] 英國國王和首相誰的權力比較大?
253,[問卦] 大學生一男七女吃飯 怎麼辦到的
254,[新聞] 越南、泰國下月將就提高出口米價開會 擬
255,[問卦] 災難型大地震是不是都先上下跳的？
256,[問卦] 住在有銀行的大樓是不是較安全
257,[問卦] 從橋上墜落是什麼感覺？
258,[問卦] 教授介紹了奇怪工作給我?
259,[問卦] 處男肥宅會被女生歧視嗎？
260,[問卦] 餐飲業的衛生有什麼八卦嗎！
261,Re: [新聞] 要國光客運10萬買斷「危險駕駛影片」！
262,Re: [爆卦] 英國女王伊莉莎白二世葬禮live
263,Re: [新聞] 吳尊友稱勿與外國人肌膚接觸防猴痘 被斥
264,Re: [新聞] 電價費率審議會19日召開 10月凍漲機率高
265,Re: [新聞] 烏鴉消失7個月「現身合體Bump」！宣布創
266,[新聞] 桃園豆腐渣天花板工程資訊被下架　前內政
267,[問卦] 幫窩看看這是陽性嗎
268,[問卦] 桃園是不是沒有地檢署啊？還是在睡？
269,被割韭菜是什麼感覺
270,[問卦] 為何桃園八德天花板垮掉但照明燈都沒事?
271,[問卦] 為什麼PCDVD敗給了Mobile01？
272,Re: [新聞] 要國光客運10萬買斷「危險駕駛影片」！
273,[問卦] 系上迎新要去嗎 
274,[問卦] 只有兩天假日怎麼去花東玩
275,[問卦] nokia貪食蛇玩到螢幕全滿有多難？
276,[問卦] 確診後吃東西怪味
277,[問卦] 蘇格蘭獨立的話英國有風笛替代品嗎 ??
278,Re: [問卦] 大學生一男七女吃飯 怎麼辦到的
279,Re: [新聞] 鏡電視取代TVBS鬧上NCC　大豐、TBC每月多
280,Re: [新聞] 桃園豆腐渣天花板工程資訊被下架　前內政
281,Re: [問卦] iPhone14滑ptt很燙正常嗎
282,[問卦] 這群是候鳥嗎？
283,[問卦] 套為啥那麼多支持者？
284,Re: [新聞] 桃園豆腐渣天花板工程資訊被下架　前內政
285,[問卦] 普丁用飛彈攻擊西敏寺會怎樣？
286,[新聞] 蔡英文「唸完稿就走」挨轟冷血　民進黨
287,Re: [新聞] 要國光客運10萬買斷「危險駕駛影片」！
288,[新聞] 
289,Re: [問卦] 台南水泥種植植物獨步全球?
290,[問卦] 吃完魚再吃菜腥味很重
291,[問卦] 晚餐這樣140還行嗎
292,Re: [新聞] 花蓮公共設施震損 地檢署啟動調查
293,[問卦] 廖老大飲料店員工的一天如何？
294,[新聞] 這總統參加女王葬禮　花13秒哀悼「2分鐘
295,[問卦] 點火肥宅乳頭會跟蠟燭一樣嗎？
296,[問卦] 關東一日遊去哪裡最頂？
297,[問卦] 東西掉了你敢撿嗎?
298,Re: [新聞] 要國光客運10萬買斷「危險駕駛影片」！
299,[問卦] 所以珍到底有沒有死掉啊？
300,[新聞] 她爆北市施壓學校 3劑接種率末段班要市長訪視
301,Re: [新聞] 桃園豆腐渣天花板工程資訊被下架　前內政
302,Re: [問卦] 請問有人在好市多被檢查出多收錢嗎？
303,[問卦] 赤壁連環計用房子上地震能防倒塌嗎？
304,[新聞] 強震球場天花板塌落 鄭運鵬籲別用選舉方
305,[新聞] 陳時中「護航高端擋BNT」有內幕？呂秀蓮
306,[問卦] 在捷運上被airdrop傳照怎辦？在線等
307,[問卦] 和你吻吻吻吻吻你吻得太逼真？
308,[問卦] 甲甲同事：我們照大腸鏡都不用麻醉的（得
309,[問卦] 長越大是不是越孤單？
310,[新聞] 打趴東區？北捷「這站」人超多 網讚：逛
311,[問卦] 為啥黃仁勳老黃在台灣討論度不高?
312,[問卦] 在五楊高架上遇到地震時怎麼辦？
313,[問卦] 捷運局擺爛，放任民眾為電扶梯站位吵架
314,Re: [新聞] 桃園豆腐渣天花板工程資訊被下架　前內政
315,[問卦] 說喜歡比較女性化的女生 算政治不正確嗎
316,Re: [問卦] 請問有人在好市多被檢查出多收錢嗎？
317,[新聞]快訊／拜登首表態會協防颱國台辦：正告民
318,[問卦] 為什麼一定要打造幸福城市？
319,[新聞] 台灣大丈夫？6.8強震釀災 日台交協暖喊：
320,[問卦] 你們家還剩多少柚子？
321,[問卦] 捷運忠孝三站外地人很容易搞混嗎?
322,Re: [問卦] 甲甲同事：我們照大腸鏡都不用麻醉的（得
323,[問卦] 為何這次地震沒有地震魚的報導?
324,[新聞] 「提及屁股的書不是色情就是戀童？」失控
325,[問卦] 486先生是盜圖仔嗎？
326,[新聞] Fed升息 台股推演三劇本
327,[問卦] 現在下大雨代表什麼
328,[問卦] 你們也會邊騎車邊抽菸嗎？
329,[問卦] 為什麼台鐵不趁現在罷工?
330,[問卦] 為什麼有人很愛北漂做不到40K的工作？
331,[問卦] 最爽的君主是乾隆帝還是伊利莎白二世？
332,[新聞] 清零慘禍:貴州大巴轉運隔離人員翻車 至少
333,Re: [問卦] 捷運忠孝三站外地人很容易搞混嗎?
334,Re: [問卦] 台南水泥種植植物獨步全球?
335,Re: [問卦] 長越大是不是越孤單？
336,Fw: [心得] 三民菡生產後護理之家態度惡劣
337,Re: [問卦] 長越大是不是越孤單？
338,Re: [問卦] 屏東里港要開星巴克？
339,Re: [問卦] 桃園是不是沒有地檢署啊？還是在睡？
340,[問卦] 好奇五先生贏了？
341,[問卦] 用大型寶特瓶裝公共飲水機都什麼人
342,[問卦] 驚!以前的台灣女生好漂亮
343,[問卦] 自助餐夾過最貴多少啊？
344,[問卦] 為什麼酒精鎖無法成為標配？
345,[問卦] 家附近要蓋社會住宅，是好事還是壞事?
346,[問卦] 地震？
347,[問卦] 12億的工程 利潤大概抓幾成???
348,[問卦] 這樣你會想進場看棒球嗎？
349,[問卦] 原子少年要粉誰比較頂？
350,Re: [問卦] 台幣這幾個月貶這麼兇，為何不升息？
351,[問卦] 原來台北也有不錯的景點呢
352,[問卦] 「又酥又脆」是在吃什麼東西？
353,[問卦] 這次地震算是房屋的達爾文理論嗎??
354,[問卦] 日本AV女優有誰是以怪物新人出道？
355,[問卦] 幹 到現在晚餐還不知道吃啥怎辦
356,Re: [新聞] 蔡英文「唸完稿就走」挨轟冷血　民進黨
357,[問卦] 地震來了怎麼知道不是頭暈？
358,[問卦] 台幣27人均3萬刀那現在32呢
359,[問卦] 跟女友視訊 鏡頭很晃？？？
360,[問卦] 地震會不會是 巴比Q 唱太多?????????????
361,Re: [新聞] 餘震突然停了！氣象局坦言「怪怪的」：不
362,Re: [問卦] 最爽的君主是乾隆帝還是伊利莎白二世？
363,Re: [問卦] 在五楊高架上遇到地震時怎麼辦？
364,Re: [新聞] 林佳龍大讚韓國瑜發大財口號簡單有力易
365,[新聞] 男行經八通關古道墜邊坡 玉管處籲震後暫
366,[問卦] 國1怎麼不擴建成五線道？
367,Re: [問卦] 廖老大飲料店員工的一天如何？
368,[爆卦] 地震
369,Re: [問卦] 台幣這幾個月貶這麼兇，為何不升息？
370,Re: [問卦] 驚!以前的台灣女生好漂亮
371,[問卦] 灌漿的時候遇到地震要打掉重練嗎
372,Re: [問卦] 12億的工程 利潤大概抓幾成???
373,[問卦] 有台北老舊危樓與新大樓一樣貴的八卦嗎
374,[問卦] 你各位幾歲成就超過你老爸老媽？
375,[新聞] 日本翻拍《消失的情人節》！「男女主角人
376,Re: [新聞] 桃園豆腐渣天花板工程資訊被下架　前內政
377,[問卦] 幹！星巴克燕麥奶拿鐵喝完馬上跑廁所
378,[問卦] 巷口馬路廣設減速丘 可改善交通？
379,[問卦] 為什麼槍要倒背
380,[新聞] 田馥甄取消2演出哽咽道歉!暖心補償歌迷
381,[新聞] 近期還有大地震？學者、關聖帝君預言
382,Re: [新聞] 鏡電視取代TVBS鬧上NCC　大豐、TBC每月多
383,[問卦] 週一下班
384,[問卦] 國安基金如果護到彈盡援絕最壞會如何?
385,[新聞] 貴州大巴翻覆27死、20傷...官員稱會給交
386,[問卦] 那個~掉落的天花板要花誰的錢來修
387,[新聞] 羽球館天花板震塌登CNN　女主播驚！網嘆
388,[新聞] 國際心肺移植學會全面禁中國器官移植論文
389,[新聞] 陳時中競辦:士北路網計畫不會拆民宅、北
390,[問卦] 為什麼台灣沒有賽馬
391,[問卦] 台灣民俗信仰專家可以解釋一下嗎？
392,[新聞] 中國首例猴痘 患者曾在德國發生男男性行
393,Re: [問卦] 有台北老舊危樓與新大樓一樣貴的八卦嗎
394,[新聞] 能源危機下重視自主性 75%法國人贊成核能
395,[問卦] 欸 開放瞻仰肥宅靈柩會很多人排隊要看嗎
396,[問卦] 來印度餐廳吃什麼才專業？
397,[問卦] 在捷運抓到一個白髮紅眼妝正妹在偷東西?
398,Re: [問卦] 廖老大飲料店員工的一天如何？
399,[問卦] 各位吃芭樂是 吃籽派 還是 去籽派？
400,[問卦] 平價壽司吃哪家？
401,[新聞] 不會標榜不舉債「最棒」 陳時中：合理舉
402,[問卦] 結構技師公會是不是中共同路人
403,Re: [新聞] 陳時中競辦:士北路網計畫不會拆民宅、北
404,Re: [問卦] 家附近要蓋社會住宅，是好事還是壞事?
405,[新聞] 歐陽妮妮海外解放3連發「大尺度比基尼」
406,[問卦] 欸欸 國外軍人為啥不用戴口罩？
407,[問卦] 上班被主管罵 下班打手槍可以改善心情嗎
408,Re: [問卦] 為什麼美國不用戴口罩??
409,[問卦] 賭場蓋在斷層上很危險嗎?
410,[問卦] 有人連過鄰居的藍芽喇叭嗎？
411,[問卦] 女生是不是不太擅長倒追男生
412,Re: [問卦] 為什麼酒精鎖無法成為標配？
413,[問卦] 日本仙台知名飯店沒地震還搖晃的八卦？
414,[問卦] 現在出門還戴有線耳機的都什麼人?
415,[問卦] 玄米律師居然要唱鏈鋸人動畫ED?
416,[問卦] 在這發錢有魔法 再發一次
417,[問卦] 肚臍味道跟腳指甲味道 大家愛哪一味?
418,[新聞] 叮咚！iPhone簡訊「！！」做記號 女嚇：
419,[問卦] 女僕咖啡廳ㄉ女僕 真ㄉ能外約ㄇ?
420,[問卦] 大家支持讓公務員能出來罷工嗎？
421,[問卦] 興隆路辛亥路是不是該拓成十線道？
422,[問卦] 為何大隻佬不殺了孫果？
423,Re: [問卦] 女僕咖啡廳ㄉ女僕 真ㄉ能外約ㄇ?
424,[問卦] 日本 英國哪個才是美國最疼愛的兒子
425,[問卦] 徐展元跟貝莉莓認識喔？
426,[新聞] 幸好200人法會取消！玉里一貫道場樓塌「2
427,[新聞] 蔡英文「唸完稿就走」挨轟冷血　王浩宇
428,[問卦] 老實說有線電視移頻很嚴重嗎？
429,[新聞] 張善政記者會因地震延後 農委會案擇期說
430,[問卦] 看到8+9和重機仔出車禍哪個比較爽？
431,[新聞] 地震頻傳 黃偉哲：南市164座老舊橋梁特別
432,[問卦] 建商房子怎不蓋好看一點 幹
433,[新聞] 周曉涵確定下車《機智校園》不怕被賜死
434,[問卦] 多大的地震才能擠出一條中央山脈?
435,[問卦] 香港歌神張學友 台灣歌神哈林 都幾？
436,Re: [問卦] 女僕咖啡廳ㄉ女僕 真ㄉ能外約ㄇ?
437,[問卦] 毒梟聖徒算是虎頭蛇尾嗎?
438,[新聞] 指揮中心估疫情最高峰單日5萬多例 0+7實
439,Re: [問卦] 發現普妹的身材很好的第一時間在想什麼？
440,[新聞] 王必勝承諾提早公布邊境解封時間 「旅行
441,Re: [問卦] 現在出門還戴有線耳機的都什麼人?
442,Re: [問卦] 台幣這幾個月貶這麼兇，為何不升息？
443,[問卦] 嗚..貓貓狀況又掉下去了 怎辦？
444,[問卦] 敵方陣營來了一個男僕該怎麼辦？
445,[問卦] 舞空術飛行為什麼沒出現音爆
446,[問卦] 有人知道自強149現在在誤點什麼的？
447,[問卦] 第一次被叫叔叔的時候有多震撼？
448,[新聞] 悉尼六成地區獨立屋價格10年間翻番
449,[問卦] 地震的時候 上面的飛機會有感覺嗎??
450,"[問卦] 台清交機械要去顧機台,而不去設計機台?"
451,[問卦] 普通人丟手榴彈丟25公尺根本不可能吧
452,Re: [新聞] 陳時中競辦:士北路網計畫不會拆民宅、北
453,Re: [問卦] 家附近要蓋社會住宅，是好事還是壞事?
454,[新聞] 八德運動中心遭疑燈箱出問題　救國團：接
455,[新聞] 法甲》梅西一擊致勝破千次過人創紀錄　
456,[問卦] 女同事為什麼不承認有男友了？
457,[問卦] 我家的貓貓怎麼了？
458,[問卦] 日本公車颱風天還硬開太敬業吧
459,[問卦]  幹 口罩跟出國 挑一個解好不好?
460,Re: [問卦] 普通人丟手榴彈丟25公尺根本不可能吧
461,[問卦] 女王的葬禮讓台灣人來辦會怎樣?
462,Re: [問卦] 普通人丟手榴彈丟25公尺根本不可能吧
463,[問卦] 有痞子蔡的檞寄生依然沒改編電影的八卦嗎
464,[問卦] PTT合購版何時才要恢復啊？= =
465,[新聞] 亂倫之家！親兄妹從小玩口交遊戲 哥哥長
466,Re: [問卦] 為什麼台灣沒有賽馬
467,[問卦] 住高樓樓倒了怎麼防衝擊?
468,[問卦] 為啥雪芙、泱泱還是滿滿少女味
469,[問卦] 多啦A夢劇情出現過哪些虛構的鬼怪呢？
470,Re: [問卦] 當初BNT擋成這樣 484有人想當代理
471,[問卦] 員林黃金帝國要拆
472,Re: [新聞] 「已經沒人在戴口罩」 拜登宣告：新冠疫
